unique_keyword_id,intent_localised_id,intent_localised,keyword_template,language
15c0d564e9e3d09c4e55bbcd2066915a,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject,location",nor
21a304f9aaf2fd3837501649b94f8961,aa8af3ebe14831a7cd1b6d1383a03755,chat,"subject,intent,medium",por
0c6504ea2efea748cc4f1d0a992ef61f,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent",ara
24203702a2ed5ff9ccae61eede5d1833,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject,location",eng
6de30c75d675d533436735e645bb2264,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject",fre
6de30c75d675d533436735e645bb2264,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject",ger
6de30c75d675d533436735e645bb2264,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"intent,subject",nor
0c6504ea2efea748cc4f1d0a992ef61f,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent",por
f273de6bb7d1ebab4530a2580535f7e9,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,training",kor
f273de6bb7d1ebab4530a2580535f7e9,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,training",ara
0a2f5a070cd392d20d9757d2a665a369,71f1743a7e335df5df56aa1eac336cc6,CNAVT,"subject,intent,location",fre
5137f7e3aaa9d54f24d67913786ce4ba,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject",ita
a5f9209b08bcb64d7d5dc85f9f8cbcf9,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,training",spa
a5f9209b08bcb64d7d5dc85f9f8cbcf9,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,training",nor
15c0d564e9e3d09c4e55bbcd2066915a,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject,location",ita
651628e25c48eb907fd0c005880d8ef0,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,location",fre
651628e25c48eb907fd0c005880d8ef0,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,location",heb
651628e25c48eb907fd0c005880d8ef0,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent,location",jpn
1c148525b52b298b7d661d75f924e75f,7706998cba9c59295e0416087833034c,ICAS,"subject,intent,training",chi
5137f7e3aaa9d54f24d67913786ce4ba,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject",dan
5137f7e3aaa9d54f24d67913786ce4ba,340cd1dcf5d3871fa2584362194cc4fe,NT2,"intent,subject",cht
d67a76d8468c0641ff96dd69c0844180,340cd1dcf5d3871fa2584362194cc4fe,NT2,"subject,intent",ind
9680278bda90d8a5bdabe9faffc6dd66,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,training",gre
49f7d0180958470eddc6f36f17623ec5,90d991b47098ceef3d8283a386cf7e91,ACT,"intent,subject,location",fre
49f7d0180958470eddc6f36f17623ec5,90d991b47098ceef3d8283a386cf7e91,ACT,"intent,subject,location",ind
ec755bf7b4570685ec033864239fa082,90d991b47098ceef3d8283a386cf7e91,ACT,"subject,intent,location",pol
d6239f81300deba932bc1c8f857dc95e,513bcfa2b82dc1735a07b97b7f870106,BEC,"subject,intent,training",ger
4da038780c0192aa74b304203f5932fb,513bcfa2b82dc1735a07b97b7f870106,BEC,"intent,subject,location",pol
54cce28c9c0ff371c6564ec82813d013,b4d45708de4ddb301ffd4666a5949344,CAE,"intent,subject",ita
57f668c010a9ab11e78eb1e7365bee54,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent",cht
e0af73c9fbd1bc4077d59e9b7d0969d3,b4d45708de4ddb301ffd4666a5949344,CAE,"subject,intent,training",por
764528480d1a676c651911036300f034,aa8af3ebe14831a7cd1b6d1383a03755,chat,"intent,subject,location",nor
