subject_localised_id,subject_localised,language
267c27e3fe5681017588a60692926aa3,Fisica,ita
d4b399749c262681224bfd74575a8794,Indonesiano,ita
f3e5bd6bdcf510888a42cc8e08e001c1,روسية,ara
29b9982cba90d07ba6ce113440169460,Irlandês,por
9f564ebabc9cf0b9589b4ecf6228379a,Khmer,por
cc81a74f51cc6e4dd2b99547d52574a2,Mandarim,por
87ea6257a5a39f7e5f498221f15c4484,Norueguês,por
10fef620608967668bce27dc9ab6fe8e,Português,por
3f0a78ca7c38dceb3c80cce2adff3b6c,Romeno,por
9c463860f4067b08dd508433383815bf,Tagalo,por
900a14b115614d9d4d1c47f1d3a3251b,Catalan,fre
e0545693906575b04aa1650abd60faba,Français,fre
43ddc789bcea4177a14791f6c9a03b28,Thai,fre
fe371a229d93cf7a2c95050c42b2b30a,Finnois,fre
b0399430f7c3cf1a530aa9e99aab9212,Niederländisch,ger
4037f77713990c867a3c53066fbc4dd0,Sanskrit,ger
687de8dadf9e4a56d29795df00584c80,Musik,ger
f3eaa76be2565a4951619635a3fc1a84,Finlandese,ita
8671ae6107d05a90dbfeee76275f98c2,Islandese,ita
9f564ebabc9cf0b9589b4ecf6228379a,Khmer,ita
057b8b37b7702621474190969c03b6cb,Coreano,ita
06f82849bec50315fd076e3fd1dd9ba9,Sanscrito,ita
f8aa4393427c2f2fd010f7adc5812517,Urdu,ita
1d6c342290ba83f682b04c13a7fdc27f,Bulgarisch,ger
7d457c8039e16cb411694c384f381684,Panjabi,ger
57d99c3589cc22b26168bfefe470ca52,Ceco,ita
a33d5847852cce879b47c90734c4bd7e,Farsi,ita
72abf926c6675fa54d94c40a93abe37e,Irlandese,ita
7889ee8f21d4930408832b3ebfaaeda9,Ucraino,ita
bc88d8d372bed1e41cc832d731a9d3fe,Türkisch,ger
539c1447f44f38350f9083a347a476ed,Chemie,ger
71ede7151e7b007cf36181112aa9d298,Bielorruso,spa
7c5e037b592f11dc1e7e7d0f0dac2a14,Checo,spa
dbfb5354bb788d45c4c46b83aaf4edf8,Irlandés,spa
bbc0294ce6177b932fad9c75af2b8563,Punjabi,spa
2ab17cd2aab88452f06e1e8a6fe71f11,Ruso,spa
06f82849bec50315fd076e3fd1dd9ba9,Sanscrito,spa
f8aa4393427c2f2fd010f7adc5812517,Urdu,spa
d17d40d6340a10ba37358e8bdd1b16c3,Corán,spa
c88b33a3250b4e28f34e1ececba69206,Idiomas,spa
6e976219abea13e2f7fadc8987126fc8,Matemáticas,spa
e0fdf5c15c186157d8be6bf05347a487,Álgebra,spa
275a856f57c32ba5a5a42d575c5f4d41,Música,spa
a424e7e13d3ccb7bc48288cf97dbd434,Física,spa
3a1294a9af64c6f001a490dcb4c40e26,Grecki,pol
d0033788e612a4e0646c261eba804fb6,Polski,pol
81fad172ea5bd6d3b4a3c75becd277e3,Sanskryt,pol
d0180e8867c14e9d76ad120ffeb37458,Tamilski,pol
