intent_localised_id,intent_localised,language
c815f09da90fdcb986a0e7bf4e732fb4,Preply,spa
1b849a8e63f525e1bfdbdf06522bd7ee,træning,dan
61def6086095cea5acf6ac3120b56e04,本國,cht
a7289131cf6f284839a3419197c04b6c,OSD,ind
e6fa5be517968617c85b491c90d72cde,JLPT,eng
8cf533e9669ca94413b681c20411f868,TOPIK,eng
78fb020c2f9441e3601c63c8f9a3a0a3,ESOL,ara
e65da42c0d05488f54e2ccdee9a2d767,TOEIC,ara
94e7f203ba80123f1182484c1c7351a7,TCF,ara
a7289131cf6f284839a3419197c04b6c,OSD,ara
9fee697d3c1684c9c253ed4d526860d7,تحدث,ara
4f5d3489a65f3d91403dd5d9e5329bee,BJT,ara
654de024829ac2d0d4be16e225160d9f,EJU,ara
3f9cd3c7b11eb1bae99dddb3d05da3c5,professor,por
22935d7f7084b1ef474f7a006d2102ce,parceiro,por
c77f6ffecb9c2177fe3c6ee85eab22f5,exame,por
3c0855b189d8d38ba9c235bdbb6b30ab,escola,por
71f1743a7e335df5df56aa1eac336cc6,CNAVT,por
90d991b47098ceef3d8283a386cf7e91,ACT,por
34c3c72c9244d4a381975e146a319c44,OET,por
8527c24d06d660c39c108577cd891cd9,PTE,por
b73014f259c910e9bb163ac74d4ea3d2,DALF,por
ad6acac903e1b8b517a7f3be3080b665,CIPLE,por
0fc5f7359321646f36a359f92d7a3c0f,TORFL,por
f36d9d9d23b9ac62a0b3f82309536760,SIELE,por
2814ca1dc6aa376dd41f927bb2f93972,conversação,por
4cd8413207629a963225f4314b53adcd,Plain,por
c815f09da90fdcb986a0e7bf4e732fb4,Preply,por
41381934a61431d2080b15e8cd17aece,locuteur,fre
5bd40a8524882d75f3083903f2c912fc,partenaire,fre
aac80d3852253c28fec23930ddfa73da,leçon,fre
90652aab8896c856edca211d4c66c90d,TEF,fre
c0a0d10fc018c11948d2472b6038a9c0,CELI,fre
e6fa5be517968617c85b491c90d72cde,JLPT,fre
e4218269679e8d10256d8574118f308e,HSK,fre
65ccf0f205fb154d14c470767026d75e,National,fre
dece4b6e06b4c84ee1d1ae49cb8f8f27,pratiquer,fre
b24e9760291913eedc16833c977f976f,conversation,fre
1af080153383444d8f5b3602d7bb11fd,classe,fre
f6b49b7da62a112311f1af06a5742e9f,FCE,fre
8cf533e9669ca94413b681c20411f868,TOPIK,fre
178522587663ca1b2c3e10d8d1351a4c,DELE,fre
8045a0a6c688b0635e3caccc408a1446,Generic,fre
513bcfa2b82dc1735a07b97b7f870106,BEC,ger
